[14-Aug-2014 16:34:27 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_CONN_STRING in /var/www/html/framework2/php/Connection.php on line 12
[14-Aug-2014 16:34:27 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_USERNAME in /var/www/html/framework2/php/Connection.php on line 12
[14-Aug-2014 16:34:27 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_PASSWORD in /var/www/html/framework2/php/Connection.php on line 12
[14-Aug-2014 16:34:27 Europe/Berlin] PHP Fatal error:  Uncaught exception 'PDOException' with message 'invalid data source name' in /var/www/html/framework2/php/Connection.php:12
Stack trace:
#0 /var/www/html/framework2/php/Connection.php(12): PDO->__construct('', NULL, NULL)
#1 /var/www/html/framework2/php/dao/LanguageDao.php(10): Connection::getPDO()
#2 /var/www/html/framework2/php/LanguageDaoTest.php(11): dao\LanguageDao->__construct()
#3 {main}
  thrown in /var/www/html/framework2/php/Connection.php on line 12
[14-Aug-2014 16:35:41 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_CONN_STRING in /var/www/html/framework2/php/Connection.php on line 13
[14-Aug-2014 16:35:41 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_USERNAME in /var/www/html/framework2/php/Connection.php on line 13
[14-Aug-2014 16:35:41 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_PASSWORD in /var/www/html/framework2/php/Connection.php on line 13
[14-Aug-2014 16:35:41 Europe/Berlin] PHP Notice:  Undefined variable: pdoinstance in /var/www/html/framework2/php/Connection.php on line 19
[14-Aug-2014 16:35:41 Europe/Berlin] PHP Notice:  Undefined variable: pdo in /var/www/html/framework2/php/dao/LanguageDao.php on line 16
[14-Aug-2014 16:35:41 Europe/Berlin] PHP Fatal error:  Call to a member function query() on a non-object in /var/www/html/framework2/php/dao/LanguageDao.php on line 16
[14-Aug-2014 16:36:12 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_CONN_STRING in /var/www/html/framework2/php/Connection.php on line 13
[14-Aug-2014 16:36:12 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_USERNAME in /var/www/html/framework2/php/Connection.php on line 13
[14-Aug-2014 16:36:12 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_PASSWORD in /var/www/html/framework2/php/Connection.php on line 13
[14-Aug-2014 16:37:05 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_CONN_STRING in /var/www/html/framework2/php/Connection.php on line 11
[14-Aug-2014 16:37:05 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_CONN_STRING in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:37:05 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_USERNAME in /var/www/html/framework2/php/Connection.php on line 15
